iter	Passed	Remaining
0	155	155264
1	156	77893
2	156	52099
3	157	39196
4	158	31453
5	158	26277
6	159	22601
7	159	19832
8	160	17670
9	161	15949
10	161	14538
11	162	13358
12	162	12363
13	163	11510
14	164	10776
15	164	10137
16	165	9573
17	166	9075
18	167	8627
19	167	8222
20	168	7852
21	169	7519
22	169	7212
23	170	6932
24	171	6685
25	172	6452
26	172	6232
27	173	6027
28	174	5837
29	175	5660
30	175	5493
31	176	5338
32	177	5198
33	178	5059
34	178	4926
35	179	4802
36	180	4689
37	180	4579
38	181	4484
39	182	4383
40	183	4288
41	183	4195
42	184	4109
43	185	4027
44	186	3949
45	186	3874
46	187	3804
47	188	3733
48	188	3666
49	189	3602
50	190	3539
51	190	3479
52	191	3422
53	192	3369
54	193	3320
55	193	3269
56	194	3224
57	195	3177
58	196	3131
59	197	3087
60	197	3043
61	198	3001
62	199	2960
63	199	2920
64	200	2880
65	200	2843
66	201	2806
67	202	2771
68	202	2736
69	203	2702
70	204	2669
71	204	2638
72	205	2607
73	205	2577
74	206	2547
75	207	2520
76	207	2493
77	208	2465
78	210	2448
79	210	2424
80	211	2399
81	212	2374
82	212	2347
83	213	2324
84	213	2301
85	214	2279
86	215	2260
87	216	2242
88	217	2221
89	217	2202
90	218	2185
91	219	2166
92	220	2146
93	220	2126
94	221	2108
95	221	2090
96	222	2072
97	223	2054
98	224	2039
99	224	2023
100	225	2006
101	226	1989
102	226	1974
103	227	1958
104	227	1942
105	228	1927
106	229	1912
107	229	1897
108	230	1882
109	230	1868
110	231	1853
111	232	1840
112	232	1827
113	233	1815
114	234	1803
115	234	1790
116	235	1776
117	235	1763
118	236	1752
119	237	1740
120	237	1728
121	238	1715
122	239	1704
123	239	1693
124	240	1682
125	241	1671
126	241	1660
127	242	1649
128	242	1638
129	243	1628
130	243	1617
131	244	1607
132	245	1598
133	245	1588
134	246	1579
135	247	1569
136	247	1559
137	248	1550
138	248	1540
139	249	1531
140	249	1522
141	250	1512
142	250	1503
143	251	1495
144	252	1486
145	252	1478
146	253	1473
147	254	1465
148	255	1458
149	256	1451
150	256	1443
151	257	1435
152	257	1428
153	258	1421
154	259	1414
155	260	1407
156	260	1399
